,category,text
0,African daisy,"Alternaria alternata has many different hosts depending on its forma specialis.A. a. f. sp. lycopersici (AAL) infects only certain cultivars of tomato plants and is often referred to as Alternaria stem canker of tomato. AAL's main symptom is cankers in the stem. It resides in seeds and seedlings, and is often spread by spores as they become airborne and land on plants. It can also spread throughout other plants.  Under severe infection, lesions enlarge and become coalesced causing blighting of the leaves. This symptom progression occurred in research done in Pakistan: the symptoms on affected tomatoes started with yellowing and browning of the lower leaves, then began developing on the leaf tips and along the margins of the leaf petiole. This progression continued until the entire leaves were covered in diseased tissue and then fell off. In addition to necrotic leaves and petioles, plants are found to have severe defoliation, with considerable yield losses when it occurs before flowering. The tomato fruit can also be infected as well, with brown cankers dotting them and making them inedible. Once the disease has spread to a certain point, little can be done to save the tomato plant.There are several host factors that affect disease development. For example, various signaling pathways in tomato plants affect their susceptibility to AAL. Salicylic acid promotes resistance to AAL and antagonizes the ethylene response. Ethylene controls the synthesis of jasmonic acid, which is a necessary pathway for immunity. Independently of each other, salicylic acid, ethylene, and jasmonic acid can influence the susceptibility of tomato to AAL. Diagnosis of AAL is often from observing signs and symptoms from this fungal pathogen. In addition, a tomato cultivar's resistance to a toxin produced by AAL also affects disease development."
1,African daisy,"Alternaria Leaf Blight is a foliar disease of carrots caused by the fungus Alternaria dauci. Alternaria dauci is included in the porri species group of Alternaria, which is classified for having large conidium and a long, slender filiform beak. Because many of the members of this group have similar morphology, Alternaria dauci has also been classified as formae specialis of carrots, or A. porri f. sp. dauci. It has been well established that the host range of this disease is on cultivated and wild carrot, but it has also been claimed that Alternaria dauci has the ability to infect wild parsnip, celery, and parsley. A study in 2011 by Boedo et al. evaluated the host range of Alternaria dauci in a controlled environment and concluded that several non-carrot species could constitute alternate hosts, such as Ridolfia segetum (corn parsley) and Caucalis tenet (hedge parsley). Despite their findings, reports of A. dauci colonization on non-carrot hosts continues to be debated because the use of Koch's Postulates on recovered isolates of A. dauci is challenging and is rarely reported; in addition, few reports are often made of such infections in field settings.Symptoms of A. dauci appear first as greenish-brown, then water-soaked, and finally necrotic lesions 8–10 days following an infection event. These lesions will appear on carrot leaflets and petioles, and have a characteristic chlorotic, yellow halo. The lesions can be irregularly shaped, and will often appear on older leaves first. Older leaves are the most susceptible to infection; when approximately 40% of the leaf surface area has become infected by Alternaria dauci, the leaf will completely yellow, collapse, and die. It is during extended conditions of warm, moist weather that lesions can coalesce and cause entire tops of carrot plants to die off, a phenomenon that is sometimes mistaken for frost damage. The symptoms of this disease are also commonly confused with Cercospora Leaf Blight of carrots as well as bacterial blight, and microscopic analysis is frequently needed to accurately diagnose the pathogen. A. dauci produces characteristically dark to olive-brown hyphae and elongated conidiophores, with conidia typically borne singly. Petiole infection can also occur without any lesion development on leaflets, and A. dauci can additionally result in damping-off of seedlings, seed stalk blight, and inflorescence infections. These symptoms can significantly reduce yield due to lost photosynthetic activity, prevention of mechanical harvest, and infection of commercial carrot seeds."
2,African daisy,"In fields, symptomatic plants are recognized in patches or rows.  They appear dwarfed, stunted, and brown in comparison to healthy plants. Local symptoms appear above ground, and plant leaves are typically distorted in shape, crinkled, and discolored with hard surfaces. They often have reduced flower size. Diseased plants typically have dead crowns and a shortened internode of the runners.A classic leaf symptom is the appearance of angular, water-soaked lesions between the veins.  The angular appearance results where the lesion edge and vein meet. In leaves with parallel venation, the length of the lesion progresses parallel to the direction of the vein.  As lesions enlarge and leaf damage progresses, symptomatic leaf edges become dry, dead, and crinkled. Because infected strawberry plants are less vigorous in growth, the stolon does not grow well, which results in reduced fruit size and number.  If the nematodes infect early in plant development, specifically when the buds are forming, the plant morphology will be dwarfed and distorted.Once the nematodes destroy most of the leaf tissue, they leave the plant through wounds and natural openings in the leaf to find a new host to infect. The pathogen is easily transmitted through direct contact between the foliage of infected and non-infected plants.  Nematodes can also move over large distances through soil transportation, as a result of human and animal movement, or through insect and bird travel."
3,African daisy,"This virus was first characterized in cucumbers (Cucumis sativus) showing mosaic symptoms in 1934, hence the name Cucumber mosaic. Since then, it has been found to infect a great variety of other plants. These include other vegetables such as squash, melons, peppers, eggplants, tomatoes, beans, carrots, celery, lettuce, spinach, beets, many ornamentals and bedding plants, such as Narcissus, and various weeds. Its presence has been confirmed on every continent of the world, including Antarctica.Symptoms seen with this virus include leaf mosaic or mottling (Fig. 1), yellowing, ringspots, stunting, and leaf, flower and fruit distortion. CMV also induces a type of symptom on leaves known as the ""shoestring"" effect on many host species. This effect causes young leaves to appear narrow and the entire plant to be stunted.Specifically, CMV can cause cucumbers to turn pale and bumpy. The leaves of these plants turn mosaic and their rugosity is often changed, making leaves wrinkled and misshapen. Growth of these plants is usually also stunted and produces few flowers. Often, cucumber fruits are oddly shaped, appear gray, and tested bitter. These appearances lead to them being referred to as ""white pickles"".Tomato plants are usually stunted and have poorly shaped leaves, or ""fernleaf"", when infected by CMV. Also certain strains of CMV can cause partial or total crop loss. CMV in peppers causes slightly different symptoms than the previously mentioned. Pepper plants often have severe foliar damage, shown as mosaic and necrotic rings. Often the peppers themselves are misshapen and contain chlorotic rings and spots. In celery, CMV causes streaking and spotting and can be often confused with symptoms of the celery mosaic virus. Symptoms of CMV in lettuce, such as chlorosis, plant stunting and often do not properly head, can be very similar to those of lettuce mosaic virus.CMV has also been identified in a lesser extent to a number of plant species. It is found to be a minor virus infecting Allium crops. The virus infection causes extensive malformation on garlic plants, and mild malformation to severe necrotic streaks on onion leaves. The severe damages on garlic plants and difficulty of aphids transmission of garlic isolate, were possible causal for the rare CMV on garlic. Genetically, the two onion isolates from Turkey (CMV-14.3Po and CMV-15.5Po) are highly similar to others isolated from various plant species in Mediterranean, European, and East Asian countries. CMV was also detected on American beautyberry, an important wildlife and pollinator food source plant native to North America.In plant tissue this virus makes characteristic viral inclusion bodies which can be diagnostic. They are hexagonal in shape (Fig. 2) and stain both in a protein stain and a nucleic acid stain. The inclusions can also be rhomboidal, may appear hollow (Fig. 2) and can form larger aggregates. The inclusions are not uniformly distributed and can be found in epidermal (Fig. 2), mesophyll, and stomatal cells. These inclusions are made up of virus particles."
4,African daisy,"F. solani is a very generalistic fungal specie and has been known to infect peas, beans, potatoes, and many types of cucurbits. There has been increasing evidence that F. solani  can also act as a causal agent of mycoses in humans. F. solani can also cause damping off, corn rot, and root rot, as well as sudden death of soybeans(SDS). Symptoms include general plant decline, wilting, and large necrotic spots on tap roots. Recently the pathogen has also done serious damage to olive trees throughout the mediterranean. F. solani has been and remains a serious economic disease in North and South America."
5,African daisy,"F. solani is a very generalistic fungal specie and has been known to infect peas, beans, potatoes, and many types of cucurbits. There has been increasing evidence that F. solani  can also act as a causal agent of mycoses in humans. F. solani can also cause damping off, corn rot, and root rot, as well as sudden death of soybeans(SDS). Symptoms include general plant decline, wilting, and large necrotic spots on tap roots. Recently the pathogen has also done serious damage to olive trees throughout the mediterranean. F. solani has been and remains a serious economic disease in North and South America."
6,African daisy,"INSV has a wide host range and can be found in over 300 plant species including weeds, fruits, vegetables and ornamental crops. Of these, the most severely affected include tomatoes, lettuce, pepper and peppermint as well as most all ornamentals. Symptoms of infection include a downward curling of the leaves, leaf tip dieback, stunting, necrosis of growing leaf tips, sunken ‘chicken pox-like’ spots on leaves (often with a surrounding halo), stem death and yellowing.  Since these symptoms are so generic, extreme caution must be taken when introducing new plants to your greenhouse. Infected plants can not be cured and not all hosts display visible symptoms Western Flower Thrips are extremely hard to remove from their host plants, as they often dig themselves deep into blossoms, buds and other areas hard to reach with insecticides. So, even if plants are sprayed regularly with insecticide, INSV and other insect vectored viruses can not always be ruled out when forming diagnosis.Temperature and host both play an important factor when discussing the symptoms which an INSV infected plant will display. When New Guinea Impatiens are cultivated in an environment varying between 75 and 80 degrees Fahrenheit the host plant will be highly symptomatic. However, when New Guinea Impatiens are grown in an environment just 10 degrees cooler it is unlikely for there to be any observable symptoms of disease."
7,African daisy,"These nematodes cause symptoms both on leaves and roots. Foliar symptoms of root-knot disease may be expressed at any time during the growing season. These symptoms of nematode damage on peanut plants range from stunting, yellowing, wilting and even plant death.  Ferris (1999–2012), also reported that nematodes cause yellowing; mid-day wilting; symptoms of water and nutrient stress; and sometimes death, especially if the nematode is interacting with other organisms.  They can appear in a peanut crop beginning about 100 days after planting or after periods of dry hot weather.  Areas of root-knot nematode damaged peanut are usually round to oblong in shape, and rows of infected plants may never overlap as those of healthy plants. It is common for plants to wilt and eventually die in areas where nematode populations are high.Root symptoms are similar to those caused by all nematodes including a reduction in number of feeder roots and root stunting, but root knot nematodes cause unique symptoms on roots and pods. Nematodes cause galls (knots) to form on both roots and pods of the peanut, and these galls are highly diagnostic for root-knot nematode presence compared to other nematodes affecting peanut. The presence of galls on roots, pegs and pods appears as single or multiple wart-like growths that may or may not be discolored. As root knot nematode infection progresses, and generally later in the season, secondary root and pod rots cause further damage and eventual death of the plants.Many soil-borne fungi, especially Sclerotium rolfsii (which causes southern stem rot) and Sclerotinia minor (which causes Sclerotinia blight), will infect the weakened peanut plants and cause more plant death. Root knot nematode infection of the peg weakens the peg so that it breaks during harvest, contributing to additional yield losses because the detached pods are then left in the soil. Infection of the pods leads to a decline in yield quality.The damage threshold, or the initial nematode population density at which peanut yields begin to decline, has been reported to be in the range of 1 to 10 eggs and second stage juveniles per 500 cm3 soil for M. arenaria on susceptible peanut cultivars."
8,African daisy,"Meloidogyne hapla (Northern root-knot nematode) has a wide host range. It is polyphagous and affects over 550 crops and weeds. It feeds on many agricultural and horticultural plants (vegetables, fruits, ornamentals), but few grasses or cereals. A list of known hosts can be found at the bottom of this page.Symptoms can be seen in the roots, leaves, and the overall growth of the infected plant. In roots, there may be stunting, wilting, and the formation of abnormal growths called galls. Galls are usually small and spherical and are situated near many small roots. They are formed when the nematode enters the root and releases chemicals to enlarge root cells, on which they feed. The roots become defective and therefore cannot transport water and nutrients properly. The end result is stunted, wilted, and yellowing plants (characteristic of nutrient deficiency) and a decreased yield. Severity of the symptoms depends on nematode population density and host plant species and cultivar. As the number of nematodes increase in the area, the number and size of root galls increase as well. Each crop responds to Meloidogyne hapla differently. Carrots typically undergo severe forking with galling of the roots, lettuce have beadlike galls, and grasses and onions have small and barely noticeable galls and symptoms. In potato tubers (special stems), brown spots will appear on areas of the tubers where the females have laid their eggs.If a field has a patchy distribution of symptoms, it usually indicates the presence of nematodes. Most nematodes are not usually distributed uniformly in the soil. To correctly identify Meloidogyne hapla, the infected plant should be sent to a lab for a proper diagnosis. One common method is perineal pattern analysis where the perineum of the female nematode (area between the anus and the vulva) is examined for a specific pattern in ridges and annulations. Another common method is analyzing isozyme (different variations of the same enzyme produced by different genes) electrophoretic profiles using esterase and malate dehydrogenase."
9,African daisy,"This species is reported to be pathogenic on grandiflora petunia (Petunia × atkinsiana). It causes root rot, shoot rot and shanking in tulips. It also infects blue daze (Evolvulus glomeratus), dusty miller (Jacobaea maritima), Barberton daisy (Gerbera jamesonii), and garden verbena (Verbena × hybrida). Like its relative Phytophtora cambivora, it can cause ink disease of chestnuts (Castanea sativa).The species is a cause of foot rot in tomatoes, causing discoloration and lesion in the stem. Progression of lesions leads to girdling, root system rot and plant collapse. Foliage will not be affected until plant stem has become girdled."
